from,to
113,160
405,106
306,69
113,47
43,406
43,407
103,378
103,377
103,321
157,395
213,155
263,160
4,63
4,286
183,282
286,4
213,61
213,320
61,380
2,195
114,256
114,365
2,305
286,174
183,303
377,376
408,408
377,103
164,216
409,409
305,2
305,63
2,2
410,329
355,256
355,365
135,135
132,411
132,132
114,340
412,4
412,2
183,129
201,94
63,3
63,62
57,137
2,412
157,191
135,336
172,413
172,123
193,193
3,63
377,61
296,296
63,174
96,96
149,148
414,415
306,306
61,377
195,2
258,329
267,19
5,5
327,21
327,416
327,173
48,50
48,75
263,417
50,87
50,49
50,71
50,84
418,62
418,184
418,299
216,164
9,19
214,345
214,351
419,290
29,420
9,421
366,366
417,263
87,422
87,154
87,41
87,145
87,50
254,186
422,87
115,136
249,105
423,417
16,424
284,155
13,301
38,25
38,26
38,40
425,426
115,427
417,423
118,117
86,189
329,187
174,63
21,68
329,410
231,172
154,87
428,429
184,299
430,249
282,212
282,121
282,83
282,424
71,162
71,431
71,432
71,433
71,83
71,84
13,36
270,129
434,215
132,285
179,157
115,338
435,435
435,147
39,23
424,15
424,45
115,337
115,436
115,123
115,437
115,165
115,336
115,438
115,251
115,439
115,135
115,339
138,137
105,249
440,413
440,275
440,178
394,104
414,414
29,23
441,360
20,86
85,17
30,23
85,41
417,442
23,115
417,443
417,444
212,282
212,145
137,57
27,23
438,35
434,23
255,249
139,129
139,445
417,113
417,114
140,139
140,446
140,447
140,448
438,169
139,342
35,438
321,104
414,449
115,23
55,56
55,57
324,11
23,434
57,55
450,434
29,438
338,116
250,150
160,405
363,154
74,177
74,74
19,267
288,217
288,84
438,29
451,452
284,160
437,135
178,177
135,437
116,338
86,453
454,357
169,438
210,210
405,160
169,338
248,142
73,73
437,455
456,456
84,82
84,121
65,457
73,215
21,212
212,21
458,129
164,46
177,176
177,178
139,164
62,283
152,147
21,74
107,113
107,417
107,114
147,152
333,62
223,459
406,11
40,48
238,244
253,75
260,74
417,62
113,417
106,405
62,333
139,429
434,450
434,460
434,365
68,80
275,172
461,45
116,336
283,308
462,463
216,216
207,41
448,140
448,272
448,46
448,45
244,238
62,441
338,123
268,459
464,280
465,155
422,404
466,421
142,187
160,18
61,295
467,152
58,305
26,38
26,40
351,180
148,468
265,19
314,17
160,284
455,375
91,469
283,282
170,470
102,2
393,378
393,379
393,103
393,381
393,376
393,181
393,385
393,388
393,390
393,61
393,392
393,393
393,394
393,296
393,250
393,395
393,397
393,377
393,368
393,104
393,321
393,60
393,150
393,320
393,295
232,52
375,455
171,40
471,472
471,255
105,473
105,434
152,467
280,464
474,91
126,13
176,292
470,170
79,62
258,62
166,424
375,143
375,475
375,356
375,329
375,66
375,469
375,108
375,110
375,375
375,91
375,476
375,111
375,474
375,112
375,328
375,357
375,477
375,258
375,478
375,90
381,177
381,176
381,344
381,479
381,320
480,282
91,375
123,338
52,232
267,265
320,381
106,44
106,190
292,176
164,388
166,165
86,106
80,287
481,55
116,136
454,189
165,337
165,361
165,27
165,30
165,116
165,133
165,165
165,336
165,136
165,135
139,139
482,340
2,102
106,42
351,178
249,115
249,169
329,66
329,328
169,249
481,58
483,377
12,265
58,366
137,107
291,291
214,214
481,211
481,208
283,82
283,121
316,1
2,194
172,275
107,137
62,152
387,296
387,295
62,474
62,258
303,183
380,380
178,344
434,105
408,59
172,93
194,2
167,280
115,107
62,314
377,377
150,393
290,484
100,429
429,164
194,192
13,10
429,140
429,447
429,448
13,446
13,35
164,429
340,114
63,371
63,363
13,25
44,407
13,303
13,95
13,129
340,340
170,485
400,260
149,149
309,215
309,222
296,393
104,103
3,3
258,474
184,418
318,486
314,62
314,85
487,488
489,489
20,230
417,151
145,121
75,372
105,82
259,20
448,40
335,15
63,4
215,215
329,143
329,356
329,108
329,375
329,357
329,478
329,90
36,129
187,142
311,459
47,443
420,29
19,161
23,62
155,285
176,344
95,201
282,62
249,62
249,355
218,74
121,212
81,107
81,62
128,86
107,99
212,121
103,103
311,215
490,129
490,365
491,168
491,167
199,196
199,51
199,197
199,199
199,200
199,128
199,167
199,203
199,204
199,206
199,41
199,94
199,95
199,207
199,201
429,139
429,46
340,10
46,429
363,63
162,492
64,91
62,81
132,271
428,139
428,446
428,447
346,157
346,294
450,440
450,275
450,458
95,13
186,121
321,103
10,260
493,294
494,83
440,450
312,377
33,23
490,106
3,2
64,141
210,159
210,158
309,74
309,272
309,223
257,278
251,251
107,161
190,106
168,129
86,295
20,495
495,20
379,157
198,183
282,16
83,496
157,396
497,78
36,28
62,79
295,86
107,4
68,62
28,36
232,232
264,498
298,184
305,285
198,387
86,86
181,181
181,394
181,250
181,377
181,104
278,257
499,44
499,500
499,501
499,502
499,503
499,406
499,407
499,504
499,505
499,43
499,358
499,506
265,267
254,107
7,44
62,226
23,460
131,411
245,113
206,346
62,30
62,23
62,128
62,41
507,243
129,168
508,509
305,58
89,469
96,89
309,309
113,151
141,7
267,498
86,510
128,62
54,281
19,265
485,170
294,346
191,511
174,174
97,300
19,362
260,248
260,297
260,259
35,24
107,174
512,155
174,107
300,97
513,222
113,361
113,263
113,444
113,318
113,423
113,245
174,4
514,514
362,498
5,117
28,35
305,211
129,114
12,12
486,394
178,351
28,23
434,128
434,161
434,19
434,129
174,164
129,365
249,129
411,132
155,512
168,515
516,517
91,514
213,360
269,46
222,513
321,394
515,168
84,84
42,74
345,180
154,363
518,173
354,353
152,62
394,321
283,62
173,518
41,62
51,280
211,285
211,305
141,430
519,519
300,160
160,362
59,520
59,137
211,481
211,208
269,140
160,300
211,286
211,96
521,340
521,134
430,141
62,417
211,55
114,169
4,194
58,252
58,404
522,523
524,72
377,378
377,250
377,368
377,104
377,150
40,438
74,42
7,141
484,87
440,168
59,55
222,215
2,55
499,525
92,520
157,6
157,64
44,44
103,526
263,444
263,423
263,245
263,76
263,485
115,115
174,286
211,371
183,365
44,500
44,43
44,365
527,318
527,48
283,256
283,365
37,36
128,205
527,114
104,394
104,321
114,527
183,106
150,377
6,157
258,258
520,92
30,62
42,87
87,484
300,107
342,139
450,256
107,300
528,64
528,489
21,520
438,40
95,41
105,393
105,493
105,145
105,147
150,368
150,104
249,363
145,212
145,42
145,427
96,302
269,288
466,141
466,529
466,496
466,498
438,170
482,41
438,151
246,530
170,438
48,527
356,329
329,474
506,64
113,442
92,100
356,356
340,531
141,466
477,108
477,91
175,532
113,333
252,408
252,132
252,2
46,269
196,41
173,513
229,229
438,123
160,180
82,366
64,89
434,533
180,257
145,145
89,474
133,51
252,269
106,16
423,263
123,438
534,256
531,340
100,92
318,527
135,251
201,486
284,149
42,190
13,506
300,62
13,535
536,86
168,440
89,437
141,64
177,344
176,176
370,417
114,245
63,520
232,537
466,9
370,40
92,538
211,211
303,13
465,465
15,139
539,78
190,42
447,139
447,446
474,329
160,45
86,540
322,139
249,434
303,62
340,521
184,81
197,128
251,116
328,459
288,252
249,42
249,106
188,459
116,251
541,181
542,183
542,399
542,413
542,168
542,543
542,256
542,419
542,440
542,544
542,275
542,458
542,403
82,283
275,542
42,249
16,106
464,483
42,183
42,81
42,115
84,288
51,133
440,542
288,71
133,128
133,280
288,70
495,363
13,90
440,226
177,17
121,82
121,105
534,544
29,25
29,26
29,27
29,30
29,33
29,34
29,35
29,38
29,39
29,545
151,438
327,5
175,288
91,474
59,54
59,56
59,58
423,455
86,362
40,37
284,377
280,133
13,118
258,402
217,432
217,433
217,366
217,84
217,70
305,57
62,170
181,296
378,377
62,329
331,73
250,181
250,394
250,250
250,377
250,104
423,76
121,233
121,145
121,546
474,478
164,174
255,363
86,536
61,320
155,518
474,110
283,107
283,142
13,2
250,103
160,321
282,254
395,395
113,443
113,547
113,171
12,141
105,121
534,440
544,542
421,529
170,548
545,29
421,496
149,277
149,284
209,233
387,198
298,246
252,412
431,50
89,303
549,550
323,97
323,102
316,379
269,256
240,210
526,103
209,58
45,461
160,61
82,233
82,546
537,232
107,256
496,421
496,529
473,29
462,462
160,319
251,40
97,323
32,23
335,322
86,223
32,26
183,64
434,163
434,255
434,81
434,106
434,471
434,189
434,551
357,357
254,282
254,142
552,305
434,490
362,86
210,240
553,554
553,340
174,285
174,16
174,371
174,46
167,41
167,51
19,7
179,381
140,174
324,555
157,377
423,423
174,3
174,140
107,306
282,226
370,47
370,41
370,38
62,114
62,365
302,89
153,107
434,249
232,321
249,430
195,195
450,95
458,542
321,232
310,78
2,252
185,354
28,114
28,165
28,169
28,367
114,283
114,63
114,62
58,55
58,56
58,59
58,209
114,28
114,165
114,367
306,107
379,316
95,64
116,361
51,29
14,280
215,222
2,13
232,556
377,157
167,351
447,447
377,181
377,296
447,46
359,452
351,167
245,114
245,48
296,377
296,181
385,296
183,543
107,62
296,295
296,385
133,557
359,558
62,256
123,41
285,305
559,282
62,434
62,106
62,249
528,528
308,283
285,208
560,459
2,63
462,561
5,64
5,327
6,327
327,6
283,5
438,438
322,140
322,335
322,273
322,334
6,379
6,489
48,252
412,252
64,95
529,359
372,433
372,86
372,134
372,83
419,542
254,115
254,31
47,41
338,115
47,114
99,107
506,44
506,365
529,421
404,58
447,448
179,180
21,363
562,562
495,211
218,196
96,115
96,170
96,252
170,96
196,95
40,417
160,338
269,216
95,207
181,150
232,284
159,209
40,25
40,27
40,28
40,30
40,33
40,34
40,38
40,39
40,545
150,181
417,318
483,464
3,4
395,157
62,70
563,290
232,133
232,557
115,302
87,441
19,473
504,160
134,372
134,553
134,482
134,173
134,521
87,493
196,128
3,408
450,413
450,172
564,209
116,115
196,280
196,167
196,203
473,460
209,11
135,96
40,448
379,6
12,565
14,430
566,452
278,256
278,180
96,135
223,86
338,28
290,567
129,450
290,568
28,338
173,306
569,360
569,161
569,7
569,566
569,570
569,452
63,571
320,394
136,337
132,62
473,19
478,474
451,496
394,320
471,434
559,518
189,434
171,41
377,60
64,157
566,569
328,90
450,129
434,256
446,269
446,216
68,86
107,115
377,394
29,51
233,252
233,404
233,532
233,115
371,211
543,183
160,314
160,17
173,134
125,353
160,42
371,63
338,160
452,141
159,233
159,237
159,210
159,234
159,238
159,158
159,235
159,240
159,236
159,241
159,242
159,243
159,244
299,184
452,359
541,150
305,552
61,61
61,394
350,572
573,566
361,113
361,443
361,263
361,114
361,245
361,47
295,459
105,180
303,89
63,211
39,86
58,63
160,367
285,552
62,132
280,574
160,377
257,180
493,129
136,135
234,234
483,214
136,251
178,575
226,440
234,210
234,236
374,7
60,377
142,576
377,160
35,28
113,28
114,417
129,172
72,259
577,375
98,99
577,578
450,142
232,61
232,53
216,579
129,493
172,129
490,434
28,113
232,41
259,74
259,248
580,580
74,311
74,341
43,43
581,41
282,74
582,62
274,269
212,256
103,232
62,531
62,77
7,569
285,174
264,500
264,440
264,452
249,283
114,371
458,458
484,563
521,583
521,482
62,582
273,269
42,405
140,269
209,209
209,121
391,368
272,290
272,584
43,505
114,78
114,531
285,155
429,428
429,269
53,280
377,295
377,284
5,232
5,53
498,506
247,246
296,387
247,19
6,134
5,115
211,63
211,552
284,232
5,528
95,95
90,90
210,420
197,197
286,286
2,192
528,5
359,529
585,585
230,230
484,290
255,255
362,362
506,506
495,208
411,411
284,351
329,208
195,4
495,371
106,21
106,20
484,143
128,128
2,586
2,408
2,138
2,434
2,6
2,281
6,2
6,4
450,542
464,41
340,482
121,209
579,269
579,216
194,587
213,473
413,542
219,79
29,24
29,28
29,31
29,32
29,36
29,37
29,588
333,263
232,60
375,80
282,589
92,21
554,419
142,282
58,2
335,139
92,137
155,429
419,554
62,355
335,269
218,459
51,232
38,443
570,569
23,590
351,284
413,172
60,232
114,208
96,591
217,71
232,51
274,592
81,509
420,210
62,45
593,197
262,215
168,280
513,173
21,92
95,196
95,51
95,199
95,200
95,128
95,167
95,206
95,93
372,282
372,431
372,594
372,70
137,92
58,54
45,269
447,269
251,23
108,509
593,51
424,212
486,183
67,66
169,114
448,269
17,42
169,363
589,282
338,337
169,165
115,5
196,218
45,45
280,53
74,188
129,256
424,82
424,121
129,486
23,251
41,28
41,280
41,133
41,114
41,123
41,165
41,483
41,169
314,317
0,316
357,356
61,213
218,95
76,417
86,68
438,32
170,169
474,258
87,131
79,79
339,455
473,189
42,17
486,129
183,486
226,459
25,438
335,164
160,106
157,379
157,376
157,5
157,397
385,385
417,76
142,450
231,231
416,327
82,183
82,285
82,234
82,211
82,552
181,321
14,103
14,380
14,389
14,537
14,526
14,61
14,85
14,53
14,394
14,221
14,312
14,18
14,178
14,403
14,486
591,96
133,41
15,62
32,438
461,272
62,28
156,179
482,74
74,482
282,559
95,218
267,267
371,495
183,88
183,63
236,159
189,473
362,441
180,346
180,214
180,148
180,351
419,450
49,71
592,269
430,62
41,136
334,15
334,269
90,474
438,25
139,269
438,30
441,498
316,0
196,204
322,269
282,142
346,168
318,127
252,303
252,59
160,280
91,478
366,58
115,252
321,181
32,30
180,278
82,531
420,402
142,283
282,493
13,352
440,200
440,562
440,458
440,65
71,71
10,339
52,595
12,161
62,78
212,252
596,597
370,27
169,28
169,367
169,96
177,223
179,377
105,569
268,222
173,340
339,10
359,141
127,318
137,365
360,213
62,430
137,520
216,269
272,46
197,41
337,336
158,237
158,209
158,238
158,241
158,242
169,169
141,359
114,333
27,370
577,366
210,371
107,81
381,179
370,48
194,4
157,156
61,232
201,207
1,1
5,140
223,223
520,137
520,21
520,63
520,59
412,412
6,6
48,40
51,51
81,418
377,321
321,377
489,6
242,158
513,462
93,93
49,297
140,5
411,131
62,115
97,335
128,197
569,105
55,107
459,249
222,268
168,346
438,6
164,335
70,433
144,254
13,550
335,97
96,211
470,155
90,62
105,283
55,59
433,70
144,186
134,598
357,107
357,474
418,81
371,114
50,48
340,464
283,105
581,557
155,470
42,145
42,147
0,146
371,210
136,41
168,526
100,101
380,321
263,527
263,361
263,113
263,443
263,318
263,442
263,47
263,48
263,171
263,333
433,217
433,288
433,71
107,283
526,168
158,599
433,372
3,58
482,134
490,371
321,380
353,404
196,196
196,51
196,197
196,199
196,200
196,201
196,206
196,94
196,207
433,162
433,152
433,432
433,180
433,84
146,0
353,125
437,27
191,6
146,146
230,62
81,473
353,100
450,438
450,340
450,169
375,96
96,375
209,159
209,237
209,234
209,238
209,158
209,235
209,240
209,241
209,242
209,243
209,244
438,450
19,513
281,211
281,552
180,256
129,458
424,139
138,58
62,15
129,600
178,214
62,173
62,190
142,41
128,51
128,41
175,3
251,438
86,83
166,283
201,133
201,18
204,377
258,469
265,12
132,166
83,372
34,35
83,283
190,62
148,402
581,205
469,258
81,189
333,113
489,64
33,40
160,41
158,210
83,308
83,166
83,601
83,366
552,281
373,283
45,371
180,433
23,588
602,569
414,603
43,499
43,498
83,494
83,86
96,604
121,71
569,602
83,154
83,233
83,107
83,424
83,62
58,552
83,160
83,71
83,84
245,263
133,201
105,533
414,605
547,171
211,281
409,10
352,41
557,51
393,154
393,162
393,155
393,546
181,291
62,445
166,132
349,402
546,145
495,21
495,16
160,320
7,161
320,160
47,116
495,329
495,128
495,606
495,290
495,114
607,249
284,277
498,43
160,133
320,351
212,509
209,183
160,478
340,553
213,247
213,499
213,608
213,246
340,173
552,211
249,607
195,192
513,19
351,320
363,165
115,363
134,340
448,216
116,47
34,25
34,38
34,40
269,269
59,481
556,483
284,280
30,438
30,609
410,258
114,48
226,42
226,106
183,209
6,438
610,96
161,7
211,103
211,117
211,611
211,612
211,560
211,338
211,107
211,62
613,613
613,614
211,126
211,209
314,226
146,52
258,410
93,41
13,179
54,34
427,615
476,474
73,311
338,438
143,375
96,610
209,211
427,470
427,151
616,320
427,170
288,433
427,119
112,108
427,261
132,283
269,139
269,448
269,434
320,616
7,374
62,230
114,495
103,283
617,618
461,139
288,104
581,79
184,473
268,1
141,529
143,484
498,359
209,303
118,118
121,121
109,62
286,58
303,209
115,245
455,438
160,81
58,195
474,404
101,100
25,23
105,142
282,115
96,56
96,57
96,303
96,619
56,96
56,57
56,303
56,89
56,610
56,619
620,620
137,59
96,169
602,616
261,32
195,58
79,219
79,120
273,322
438,455
57,96
616,602
323,100
455,339
455,302
344,149
303,96
486,486
302,455
80,16
80,282
80,142
367,28
367,114
367,165
367,169
96,339
42,226
367,151
211,301
232,368
441,374
367,261
21,106
559,166
452,566
226,282
619,96
303,56
303,57
303,610
303,619
151,35
87,438
346,180
419,336
51,141
195,6
147,87
554,535
188,282
401,621
424,80
238,587
238,622
216,446
390,14
129,128
129,585
116,27
27,116
404,107
213,529
86,107
136,89
282,188
52,146
368,368
190,509
132,131
58,4
214,178
390,296
390,395
390,295
368,52
51,35
623,623
448,139
448,446
448,447
448,429
170,116
521,554
275,515
102,98
161,12
160,453
49,433
185,353
26,25
6,195
20,106
129,572
35,23
457,401
65,257
65,434
554,521
434,233
96,417
438,87
162,532
129,413
12,510
413,129
64,64
329,62
36,30
105,384
105,161
105,280
105,518
105,203
105,363
105,351
105,236
324,43
452,43
5,105
105,16
181,61
181,320
281,58
281,63
281,208
116,170
291,181
452,451
200,94
63,58
63,281
63,208
14,390
13,624
128,129
63,175
294,206
46,303
46,210
46,371
46,211
46,63
46,236
46,174
63,625
401,457
114,105
63,56
114,4
114,210
114,2
114,3
114,137
114,46
31,23
57,208
114,278
114,115
613,117
394,181
169,129
193,2
192,412
6,64
337,337
21,105
120,17
280,280
104,377
321,368
168,168
260,400
374,374
35,51
417,96
417,547
417,171
13,420
417,40
113,41
115,114
249,424
61,393
395,390
395,295
105,5
87,626
438,96
212,147
210,236
371,129
96,438
136,464
41,113
430,498
87,17
91,91
133,143
569,43
81,160
56,63
366,441
627,184
17,87
283,103
444,263
164,334
238,239
178,231
139,428
425,425
300,355
29,560
303,285
303,15
303,210
303,371
303,286
303,211
303,63
303,137
320,628
62,303
251,32
42,560
32,251
40,590
282,166
40,32
590,40
122,122
104,368
179,122
179,179
209,283
137,303
211,57
142,183
275,413
275,440
486,201
323,323
211,129
285,303
60,150
211,58
409,118
129,211
129,371
129,169
60,296
560,42
233,434
211,303
61,321
496,141
496,466
496,498
412,305
61,182
190,160
62,184
401,425
282,355
211,249
498,496
427,367
94,94
101,120
3,174
566,43
12,573
51,113
412,192
321,546
113,51
362,7
7,362
188,106
441,366
70,288
13,286
154,62
376,103
16,495
363,329
363,495
363,28
363,303
363,210
363,371
363,296
363,81
363,351
363,129
154,518
154,173
107,357
284,231
546,321
41,464
41,581
41,30
41,232
41,593
41,482
41,47
41,336
41,171
183,362
183,19
165,212
256,212
282,64
212,165
629,316
282,518
349,180
379,396
424,434
336,41
496,496
89,136
305,412
263,96
64,6
201,41
494,86
466,608
429,45
53,397
397,53
62,245
182,61
211,256
86,114
28,365
351,342
556,232
556,330
404,100
301,211
136,116
359,421
359,496
359,213
269,15
351,214
495,129
466,267
329,129
264,264
385,295
2,193
194,54
194,193
4,195
329,258
127,21
127,20
400,560
560,106
148,344
21,495
258,107
630,630
81,356
489,5
6,140
36,31
319,319
389,389
631,631
506,141
245,245
632,632
633,633
283,283
634,634
634,635
636,636
637,637
31,31
80,80
81,329
81,184
108,108
4,114
4,81
18,223
11,11
103,582
99,99
51,160
388,164
103,296
116,116
48,114
64,68
64,506
10,36
48,455
492,254
269,273
269,272
269,274
269,164
184,42
172,62
86,450
86,82
51,199
249,155
344,148
268,215
638,46
638,639
638,124
638,338
638,640
638,638
638,158
638,55
638,210
638,356
249,441
210,303
344,180
526,403
638,300
235,233
212,364
129,495
42,184
638,10
638,340
492,186
129,329
106,495
638,329
638,81
638,480
492,144
638,12
132,6
638,589
44,430
346,342
105,42
105,427
357,256
85,226
180,289
180,621
180,342
180,149
180,345
180,191
180,179
84,83
157,157
641,163
165,129
83,431
41,443
430,44
441,264
11,209
10,535
264,441
44,506
177,377
145,233
213,182
19,441
42,642
42,329
42,474
42,169
42,453
330,223
393,82
393,121
393,612
393,105
393,83
393,180
393,643
393,17
81,42
46,140
11,406
320,213
188,155
357,454
99,139
140,164
160,51
170,165
51,197
51,109
379,389
329,81
329,42
109,51
271,132
41,352
405,42
537,460
33,35
357,258
495,1
495,203
495,377
495,106
495,365
164,140
164,164
249,81
15,303
447,140
447,429
129,249
155,393
86,103
86,377
171,417
174,2
240,236
581,139
551,106
40,245
478,357
69,260
644,489
40,113
113,250
141,498
165,280
249,160
160,237
113,40
114,326
537,473
21,364
460,537
473,537
460,434
455,48
96,64
64,14
64,124
320,379
64,379
69,68
364,21
183,187
2,174
180,262
180,344
180,156
180,348
180,349
180,122
434,473
19,183
121,110
121,84
31,229
133,65
121,83
14,64
121,393
105,366
86,263
86,444
82,393
283,132
233,145
103,352
357,212
6,132
160,165
546,58
136,165
103,295
404,404
280,165
107,338
69,81
271,131
271,411
62,68
234,209
155,188
377,177
129,343
129,568
129,130
183,44
96,21
165,25
165,417
165,443
165,261
165,482
165,39
165,545
64,96
243,375
474,143
474,356
474,375
474,357
96,116
366,282
458,600
245,62
263,62
115,96
11,159
62,263
283,373
562,440
21,96
438,251
438,367
367,438
397,376
165,420
645,645
281,4
394,628
140,429
385,380
385,387
100,100
408,3
379,379
4,174
120,79
305,305
5,489
646,646
647,647
648,648
450,450
628,628
394,394
394,377
260,69
21,127
256,357
340,74
466,649
308,308
650,215
14,181
14,226
167,53
47,455
420,301
420,651
58,546
122,347
107,86
612,393
301,420
141,362
44,183
169,364
55,55
526,290
379,397
65,413
65,200
65,440
65,275
65,178
65,562
482,521
86,372
86,494
139,581
464,340
133,568
86,424
165,339
129,434
129,180
129,41
129,115
129,173
231,290
279,62
419,652
29,151
129,290
28,438
62,86
74,260
173,327
115,63
489,16
86,62
366,105
170,133
40,547
173,173
438,28
94,41
169,123
367,62
420,283
365,365
20,188
133,170
349,191
653,653
81,69
30,35
404,654
19,19
81,460
132,305
132,211
295,18
81,106
28,62
474,62
272,271
397,390
81,249
204,41
460,81
187,189
376,397
533,285
480,211
409,13
420,165
139,446
139,447
285,533
233,637
150,60
13,444
655,367
211,132
188,20
402,402
444,96
18,103
18,295
13,65
83,83
318,48
371,490
262,656
96,444
95,351
139,448
62,453
63,2
267,570
446,446
140,322
269,657
547,547
84,217
84,152
84,433
84,70
412,195
225,311
223,74
444,455
343,278
128,28
131,271
218,218
129,42
286,137
51,593
129,165
658,658
278,343
28,128
63,115
244,244
63,286
63,59
44,19
286,303
137,286
7,7
63,46
58,62
217,288
525,525
525,247
525,499
525,8
525,406
566,141
652,419
55,211
659,659
63,408
581,0
223,18
195,412
285,2
2,285
660,660
172,172
378,378
452,573
5,2
116,339
525,9
525,466
63,303
3,192
3,303
2,137
260,325
548,170
36,10
159,631
215,650
